name,isAcceptingDelegation,externalDataURL,split,paymentAccounts,minimumDelegation,payoutDelay,payoutFrequency,minimumPayout,isCheap,payForOwnBlocks,payForEndorsements,payGainedFees,payForAccusationGains,subtractLostDepositsWhenAccused,subtractLostRewardsWhenAccused,subtractLostFeesWhenAccused,payForRevelation,subtractLostRewardsWhenMissRevelation,subtractLostFeesWhenMissRevelation,compensateMissedBlocks,payForStolenBlocks,compensateMissedEndorsements,compensateLowPriorityEndorsementLoss,overdelegationThreshold,subtractRewardsFromUninvitedDelegation,recordManager,timestamp
Money Every 3 Days,true,https://moneyevery3days.com/moneyevery3days.json,0.96,tz1bd5Pn5DxPinvCtkeJmoneyYiLeUebvUa5,100000,0,1,0,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,100,true,null,Fri Feb 28 2020 09:20:46 GMT-0500 (Eastern Standard Time)
Money every 3 days old baker,true,https://moneyevery3days.com/moneyevery3days.json,0.85,tz1bd5Pn5DxPinvCtkeJmoneyYiLeUebvUa5,100000,0,1,0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,100,true,null,Fri Feb 28 2020 00:42:41 GMT-0500 (Eastern Standard Time)
Airfoil,true,https://airfoil.services/airfoil.json,0.95,tz1QH3G2btaWc1vRLNsEfx2gHM7Ad81TeRit,0,6,1,0,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,100,true,null,Wed Feb 19 2020 16:03:17 GMT-0500 (Eastern Standard Time)
steak.and.bake,true,https://steakandbake.github.io/assets/bakerOffchainRegistry.json,0.95,,100000,6,1,0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,100,true,null,Wed Feb 12 2020 17:27:51 GMT-0500 (Eastern Standard Time)
Tezos Vote,true,https://tezos.vote/baker.json,0.9,tz1ggJg924JdWdww6oLGFksRgKctfrDMUNfE,500000,6,1,500,true,true,true,true,true,false,false,false,true,false,false,false,true,false,false,100,true,null,Wed Feb 12 2020 14:26:51 GMT-0500 (Eastern Standard Time)
Tezos Tacos,true,,0.93,,5000000,6,1,0,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,100,true,null,Mon Feb 03 2020 16:30:34 GMT-0500 (Eastern Standard Time)
Fresh Tezos,true,,0.8501,tz1iXQ3rgNt3rNHt9iNTm2muQYg1Msw2faFq,5000000,6,1,0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,100,true,null,Sun Feb 02 2020 02:29:34 GMT-0500 (Eastern Standard Time)
Baking Tacos,true,https://bakingtacos.com/baker-registry.json,0.92,,0,6,1,0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,100,true,null,Fri Jan 17 2020 13:27:20 GMT-0500 (Eastern Standard Time)
YieldWallet.io,true,https://yieldwallet.io/tezos_baker_info.json,1,,0,-5,1,0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,100,true,null,Fri Jan 17 2020 02:46:20 GMT-0500 (Eastern Standard Time)
tezzz,true,,0.955,tz1ZjWs3FCrVnZ5ksszMi6cg9BWeo1Eb1nnm,5000000,6,1,0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,100,true,null,Thu Jan 16 2020 10:10:00 GMT-0500 (Eastern Standard Time)
